"elevation","siteCode","longitude","latitude"
1068.28418,"OUT",76.893599,10.344409
1047.249268,"UPMAP3B",76.893645,10.347225
1354.361084,"HP36P1B",76.997687,10.36448
1354.438965,"HP36P3B",76.997352,10.366579
1397.429932,"HP36P4B",76.995389,10.369326
1296.381958,"HP4008R",76.994411,10.367818
1059.941406,"UPMAP6B",76.890551,10.346768
990.897949,"UPMAP5B",76.890573,10.348693
1012.478882,"UPMAP4B",76.892316,10.348295
1011.299011,"UPMAP1B",76.896217,10.347723
1074.259155,"INBS04R",76.927314,10.324047
1076.483032,"INBS04U",76.926155,10.324962
1091.371704,"SEL107U",76.934281,10.337905
1091.920166,"SEL107R",76.935885,10.337667
1096.360229,"SEL207R",76.933714,10.342564
1107.62439,"SEL207U",76.933587,10.344028
1367.819458,"HP37P1B",76.993891,10.372652
1356.159546,"HP37P2B",76.993471,10.374513
1279.870239,"HP37P4B",76.990928,10.37459
1232.752808,"HP4008U",76.990652,10.368136
1077.064087,"INME03R",76.930319,10.320642
1083.850586,"INOA03R",76.926351,10.322687
1077.670654,"INME03U",76.923506,10.32326
1103.503784,"054",76.891605,10.296696
1085.302856,"STIN02U",76.932849,10.329044
1081.554199,"STIN02R",76.932344,10.327294
1134.523438,"ANAMALLAI CLUB",76.954627,10.357478
1050.063965,"VAR310U",76.919272,10.348762
1052.999756,"VAR410U",76.920711,10.346621
1031.419922,"VAR410R",76.92241,10.345181
1211.424927,"OLCAP3B",76.97502,10.370292
1137.172363,"OLCAP2B",76.973267,10.370863
1188.864746,"OLCAP5B",76.976516,10.371327
1080.852173,"THEN10R",76.938764,10.353904
1079.759644,"PANMP3B",76.891975,10.296309
1083.934448,"PANMP1B",76.893264,10.297782
1309.087402,"IPTO04U",76.989792,10.351394
1319.203857,"IPTO06R",76.992185,10.351258
1355.903076,"IPTO04R",76.993409,10.352544
1149.861206,"PANMP2B",76.891309,10.298449
1297.008057,"IPTO06U",76.990814,10.349921
1102.689087,"THEN10U",76.939725,10.354579
1083.418335,"OLV110R",76.933438,10.346574
1091.653931,"OLV208R",76.934836,10.348646
1111.03833,"OLV110U",76.93673,10.350635
1125.631226,"OLV208U",76.938111,10.351733
1035.859985,"VAR210R",76.930077,10.355491
1056.398682,"VAR310R",76.929053,10.352754
1071.5,"OUT",76.893554,10.296781
1084.952881,"041",76.934021,10.347808
1086.056763,"042",76.934119,10.347976
1083.199951,"043",76.934356,10.34851
1088.127319,"044",76.934539,10.348763
1088.080566,"046",76.934539,10.348766
1086.875488,"047",76.934637,10.348683
1087.165771,"048",76.934651,10.348658
1087.191895,"049",76.934654,10.348655
1087.562256,"050",76.934664,10.34865
1087.61438,"052",76.93469,10.348659
1087.598999,"053",76.93469,10.348659
