"Site_ID","Site_type","basal_area","height","count","richness","canopy_cover","leaf_litter","vert_strat","plantingYear"
"HP36P1B","Benchmark",22663.7434737574,8.67532467532468,77,30,80,7.5,8,NA
"HP36P3B","Benchmark",44529.5636403237,8.80487804878049,82,23,65,8.5,8,NA
"HP36P4B","Benchmark",21042.6708008949,8.99090909090909,55,22,70,4.5,8,NA
"HP37P1B","Benchmark",33803.6345605316,9.0390625,64,32,85,4.5,7,NA
"HP37P2B","Benchmark",16331.127443074,7.69512195121951,41,23,60,6,8,NA
"HP37P4B","Benchmark",32540.8992420405,9.34782608695652,93,28,75,9,7,NA
"HP4008R","Active",4547.37503402163,5.8955223880597,68,8,50,5.5,5,2007
"HP4008U","Passive",5142.45536624223,6.68965517241379,29,14,25,3,3,2007
"INBS04R","Active",7716.09026787761,8.80487804878049,41,17,70,3,6,2004
"INBS04U","Passive",1801.15649097098,10.9666666666667,15,1,5,3.5,4,2004
"INME03R","Active",18776.1651506911,14.8548387096774,31,13,50,5,7,2003
"INME03U","Passive",9438.44516765022,10.047619047619,21,9,45,3.5,6,2003
"INOA03R","Active",5646.41949354272,10.7266666666667,15,11,70,5.5,5,2004
"IPTO04R","Active",4608.17222228274,5.95283018867925,53,14,65,2.5,3,2004
"IPTO04U","Passive",1973.99875916878,4.8974358974359,39,13,35,3.5,4,2004
"IPTO06R","Active",4847.85956657913,5.11486486486486,76,9,65,5.5,5,2006
"IPTO06U","Passive",2598.9206432191,4.07446808510638,47,9,0,2.5,3,2006
"OLCAP2B","Benchmark",18721.7142657858,7.45918367346939,49,15,55,13.5,7,NA
"OLCAP3B","Benchmark",17788.0357710108,6.91666666666667,42,21,99,8.5,7,NA
"OLCAP5B","Benchmark",29028.5812184445,6.88,50,23,66,2.5,6,NA
"OLV110R","Active",18997.6889371072,6.63372093023256,87,21,50,7,8,2008
"OLV110U","Passive",2355.5727352316,7.83333333333333,9,5,20,3,4,2008
"OLV208R","Active",4070.30809210368,6.58620689655172,29,8,60,4.5,7,2009
"OLV208U","Passive",2990.44180322517,6.41111111111111,46,10,40,4,5,2009
"PANMP1B","Benchmark",23251.1843687096,7.88305084745763,59,18,95,7,5,NA
"PANMP2B","Benchmark",30847.968112372,9.37735849056604,53,16,85,7,6,NA
"PANMP3B","Benchmark",9724.56596659367,6.85833333333333,60,21,100,7.5,6,NA
"SEL107R","Active",6990.16467806759,7.08181818181818,55,16,65,4,5,2007
"SEL107U","Passive",23604.9858072029,9.625,24,11,40,3.5,5,2007
"SEL207R","Active",11425.3354772094,12.7608695652174,23,9,50,6,4,2007
"SEL207U","Passive",7025.59654727342,24.2692307692308,13,1,40,1,5,2007
"STIN02R","Active",36300.2981528141,10.6315789473684,38,14,70,5.5,5,2002
"STIN02U","Passive",2445.73401049316,4.3625,40,6,10,4.5,4,2002
"THEN10U","Passive",2457.82978616814,5.34883720930233,48,8,0,7,5,2010
"UPMAP1B","Benchmark",39394.7477113498,9.0531914893617,47,21,75,5,6,NA
"UPMAP3B","Benchmark",21869.5603077289,8.47402597402597,77,26,80,10,7,NA
"UPMAP4B","Benchmark",17057.7493357601,9.40769230769231,65,30,80,8.5,8,NA
"UPMAP5B","Benchmark",19209.2854339479,11.1644736842105,76,29,75,6,7,NA
"UPMAP6B","Benchmark",44426.940533018,9.35245901639344,61,32,100,7,6,NA
"VAR210R","Active",15373.7308829047,9.71311475409836,61,16,75,9,7,2010
"VAR310R","Active",22166.9413188961,9.17241379310345,59,22,75,5,6,2010
"VAR310U","Passive",3796.8798998718,5.18181818181818,33,8,20,3.5,3,2010
"VAR410R","Active",7651.85135397214,5.8469387755102,49,16,80,10,5,2010
"VAR410U","Passive",3438.14465814267,6.12222222222222,48,21,75,7,6,2010
